Город;Регион;Федеральный округ;lat;lng
Тюмень;Тюменская область;Уральский;57,153033;65,534328
Уварово;Тамбовская область;Центральный;51,983099;42,261
Углегорск;Сахалинская область;Дальневосточный;49,081575;142,069281
Углич;Ярославская область;Центральный;57,526592;38,319372
Удачный;Якутия;Дальневосточный;66,406995;112,306362
Удомля;Тверская область;Центральный;57,876779;35,00511
Ужур;Красноярский край;Сибирский;55,320155;89,844006
Узловая;Тульская область;Центральный;53,97844;38,160299
Улан-Удэ;Бурятия;Сибирский;51,834464;107,584574
Ульяновск;Ульяновская область;Приволжский;54,314192;48,403123
Унеча;Брянская область;Центральный;52,845115;32,670676
Урай;Ханты-Мансийский АО — Югра;Уральский;60,129632;64,803944
Урень;Нижегородская область;Приволжский;57,463042;45,799527
Уржум;Кировская область;Приволжский;57,109738;50,005717
Урус-Мартан;Чечня;Северо-Кавказский;43,127617;45,540614
Урюпинск;Волгоградская область;Южный;50,794522;41,995844
Усинск;Коми;Северо-Западный;65,994144;57,55701
Усмань;Липецкая область;Центральный;52,043386;39,736069
Усолье-Сибирское;Иркутская область;Сибирский;52,756648;103,638769
Усолье;Пермский край;Приволжский;52,756648;103,638769
Уссурийск;Приморский край;Дальневосточный;43,797273;131,95178
Усть-Джегута;Карачаево-Черкесия;Северо-Кавказский;44,083895;41,971042
Усть-Илимск;Иркутская область;Сибирский;54,55712;100,578038
Усть-Катав;Челябинская область;Уральский;54,930289;58,1747
Усть-Кут;Иркутская область;Сибирский;56,792838;105,775699
Усть-Лабинск;Краснодарский край;Южный;45,213625;39,691234
Устюжна;Вологодская область;Северо-Западный;58,838391;36,442414
Уфа;Башкортостан;Приволжский;54,735147;55,958727
Ухта;Коми;Северо-Западный;63,562626;53,684022
Учалы;Башкортостан;Приволжский;54,319176;59,378631
Уяр;Красноярский край;Сибирский;55,813172;94,328297
Фатеж;Курская область;Центральный;52,091789;35,853892
Фокино;Брянская область;Центральный;53,455436;34,415923
Фокино;Приморский край;Дальневосточный;53,455436;34,415923
Фролово;Волгоградская область;Южный;49,765861;43,649292
Фрязино;Московская область;Центральный;55,957938;38,052339
Фурманов;Ивановская область;Центральный;57,252601;41,106189
Хабаровск;Хабаровский край;Дальневосточный;48,480223;135,071917
Хадыженск;Краснодарский край;Южный;44,422804;39,537326
Ханты-Мансийск;Ханты-Мансийский АО — Югра;Уральский;61,00318;69,018902
Харабали;Астраханская область;Южный;47,409315;47,252058
Харовск;Вологодская область;Северо-Западный;59,95074;40,20631
Хасавюрт;Дагестан;Северо-Кавказский;43,246265;46,590044
Хвалынск;Саратовская область;Приволжский;52,495501;48,105772
Хилок;Забайкальский край;Сибирский;51,363401;110,459012
Химки;Московская область;Центральный;55,88874;37,43039
Холм;Новгородская область;Северо-Западный;57,145202;31,178781
Холмск;Сахалинская область;Дальневосточный;47,040905;142,041622
Хотьково;Московская область;Центральный;56,252182;37,978677
Цивильск;Чувашия;Приволжский;55,86501;47,47298
Цимлянск;Ростовская область;Южный;47,647714;42,09306
Чадан;Тыва;Сибирский;51,284472;91,578913
Чайковский;Пермский край;Приволжский;56,778061;54,147759
Чапаевск;Самарская область;Приволжский;52,981709;49,710217
Чаплыгин;Липецкая область;Центральный;53,240555;39,96699
Чебаркуль;Челябинская область;Уральский;54,977785;60,37012
Чебоксары;Чувашия;Приволжский;56,146277;47,251079
Чегем;Кабардино-Балкария;Северо-Кавказский;43,567114;43,586626
Чекалин;Тульская область;Центральный;54,098505;36,247372
Челябинск;Челябинская область;Уральский;55,159897;61,402554
Чердынь;Пермский край;Приволжский;60,402836;56,479543
Черемхово;Иркутская область;Сибирский;53,136911;103,090096
Черепаново;Новосибирская область;Сибирский;54,228417;83,372201
Череповец;Вологодская область;Северо-Западный;59,122612;37,903461
Черкесск;Карачаево-Черкесия;Северо-Кавказский;44,226863;42,04677
Чёрмоз;Пермский край;Приволжский;58,784335;56,150796
Черноголовка;Московская область;Центральный;56,010005;38,379245
Черногорск;Хакасия;Сибирский;53,827013;91,306005
Чернушка;Пермский край;Приволжский;56,51601;56,076361
Черняховск;Калининградская область;Северо-Западный;54,630706;21,819503
Чехов;Московская область;Центральный;55,149851;37,466997
Чистополь;Татарстан;Приволжский;55,372334;50,643575
Чита;Забайкальский край;Сибирский;52,033973;113,499432
Чкаловск;Нижегородская область;Приволжский;56,766253;43,251105
Чудово;Новгородская область;Северо-Западный;59,12119;31,670285
Чулым;Новосибирская область;Сибирский;55,091258;80,963288
Чусовой;Пермский край;Приволжский;58,297548;57,819318
Чухлома;Костромская область;Центральный;58,753399;42,688526
Шагонар;Тыва;Сибирский;51,534705;92,919972
Шадринск;Курганская область;Уральский;56,087042;63,629747
Шали;Чечня;Северо-Кавказский;43,1488;45,900991
Шарыпово;Красноярский край;Сибирский;55,539064;89,180151
Шарья;Костромская область;Центральный;58,369849;45,518264
Шахты;Ростовская область;Южный;47,709601;40,215797
Шахунья;Нижегородская область;Приволжский;57,676379;46,612915
Шацк;Рязанская область;Центральный;51,496839;23,930185
Шебекино;Белгородская область;Центральный;50,400498;36,887916
Шелехов;Иркутская область;Сибирский;52,210209;104,097395
Шенкурск;Архангельская область;Северо-Западный;62,10565;42,899612
Шимановск;Амурская область;Дальневосточный;51,85262;116,032735
Шиханы;Саратовская область;Приволжский;52,114774;47,202327
Шлиссельбург;Ленинградская область;Северо-Западный;59,934943;31,026597
Шумерля;Чувашия;Приволжский;55,497934;46,417846
Шумиха;Курганская область;Уральский;55,228726;63,28571
Шуя;Ивановская область;Центральный;56,852037;41,385556
Щёкино;Тульская область;Центральный;54,002146;37,517626
ЩёлкиноОспаривается;Крым;Южный;45,428886;35,825065
Щёлково;Московская область;Центральный;55,920209;37,991478
Щигры;Курская область;Центральный;51,87619;36,912
Щучье;Курганская область;Уральский;55,208831;62,747853
Электрогорск;Московская область;Центральный;55,883161;38,786209
Электросталь;Московская область;Центральный;55,784445;38,444849
Электроугли;Московская область;Центральный;55,716859;38,219659
Элиста;Калмыкия;Южный;46,307743;44,269759
Энгельс;Саратовская область;Приволжский;51,485489;46,126783
Эртиль;Воронежская область;Центральный;51,835727;40,799243
Югорск;Ханты-Мансийский АО — Югра;Уральский;61,314917;63,331964
Южа;Ивановская область;Центральный;56,583698;42,011843
Южно-Сахалинск;Сахалинская область;Дальневосточный;46,959155;142,738023
Южно-Сухокумск;Дагестан;Северо-Кавказский;44,660166;45,649966
Южноуральск;Челябинская область;Уральский;54,442455;61,268229
Юрга;Кемеровская область;Сибирский;55,713557;84,933869
Юрьев-Польский;Владимирская область;Центральный;56,49925;39,680814
Юрьевец;Ивановская область;Центральный;57,317815;43,110995
Юрюзань;Челябинская область;Уральский;54,854646;58,422662
Юхнов;Калужская область;Центральный;54,744201;35,238878
Ядрин;Чувашия;Приволжский;55,940689;46,202107
Якутск;Якутия;Дальневосточный;62,028103;129,732663
Ялуторовск;Тюменская область;Уральский;56,654689;66,312206
Янаул;Башкортостан;Приволжский;56,264957;54,929824
Яранск;Кировская область;Приволжский;57,304228;47,885855
Яровое;Алтайский край;Сибирский;52,923446;78,569601
Ярославль;Ярославская область;Центральный;57,626569;39,893787
Ярцево;Смоленская область;Центральный;57,535951;40,006121
Ясногорск;Тульская область;Центральный;54,479555;37,689689
Ясный;Оренбургская область;Приволжский;51,036877;59,874349
Яхрома;Московская область;;56,28989;37,483858
